	county_id	new_pct_dem	proj_X	proj_Y	pct_black	pct_hisp	pct_bach	median_income	ln_pop_den	pct_3rd_party	pct_fb
0	1001	-0.39333	872671.261628	1094448.619126	0.675972	-0.477819	0.484802	0.384677	0.42147	-0.25666	-0.426959
1	1003	-0.682766	789779.336463	884540.317177	0.009848	-0.348614	1.037842	0.355537	0.606451	-0.405591	-0.180595
2	1005	0.755476	997073.684183	1032964.761519	2.640009	-0.36297	-1.080407	-1.473348	-0.264721	-1.189276	-0.356569
3	1007	-0.796477	822881.127584	1141559.518518	0.902592	-0.492175	-1.205623	-0.408631	-0.121029	-1.052689	-0.567739
4	1009	-1.486419	863738.110649	1255770.476516	-0.518931	-0.011245	-0.923886	-0.279876	0.400424	-1.072176	-0.039815
5	1011	2.531481	964066.82754	1055199.419454	4.507904	-0.492175	-1.028233	-1.10041	-0.572896	-1.552419	-0.708519
6	1013	0.505939	877736.908976	1007299.273711	2.488929	-0.578312	-0.610844	-0.894585	-0.318686	-1.279091	-0.690921
7	1015	-0.221411	933877.07679	1239472.312774	0.799583	-0.406039	-0.360411	-0.42898	0.833485	-0.540304	-0.356569
8	1017	0.507428	984199.552216	1148646.314782	2.090628	-0.506531	-0.903016	-0.781073	0.133244	-0.802185	-0.514947
9	1019	-1.262053	949221.049701	1286593.576142	-0.312913	-0.563956	-0.95519	-0.807306	-0.014552	-1.185037	-0.673324
10	1021	-1.093914	862233.474972	1128478.030082	0.002981	-0.118916	-0.965625	-0.413878	0.201875	-1.157695	-0.022218
11	1023	0.508884	726604.790957	1023614.369671	2.296646	-0.650093	-1.049102	-1.234625	-0.664496	-1.440553	-0.726116
12	1025	0.624154	770409.242244	988877.784866	2.516398	-0.657271	-1.017798	-1.127423	-0.480753	-1.58678	-0.796506
13	1027	-0.945983	936637.583337	1183316.487108	0.442485	-0.456285	-1.184754	-0.883454	-0.403167	-1.02985	-0.479752
14	1029	-1.500158	963106.465403	1231744.841848	-0.443391	-0.499353	-0.683887	-0.607224	-0.294088	-0.974843	-0.550142
15	1031	-0.660201	946806.28151	975109.32461	0.53176	-0.154806	0.088282	0.16531	0.311468	-0.49216	-0.127802
16	1033	-0.218508	743756.299419	1325405.922494	0.483689	-0.477819	-0.40215	-0.37155	0.397717	-0.643846	-0.497349
17	1035	0.764495	851715.843751	968624.109737	2.653743	-0.628559	-0.95519	-1.096723	-0.642211	-1.484507	-0.673324
18	1037	-0.04608	904820.446549	1142658.646623	1.678592	-0.607024	-0.95519	-1.014974	-0.582004	-0.965137	-0.743714
19	1039	-1.113474	904860.303513	953590.315384	0.298273	-0.556778	-0.694322	-0.788163	-0.12524	-1.254588	-0.690921
20	1041	-0.488166	912410.565059	1008389.664227	0.971264	-0.62138	-0.475193	-0.719106	-0.386721	-1.141272	-0.585336
21	1043	-1.414215	834682.334566	1269831.265721	-0.539533	-0.36297	-0.840408	-0.594675	0.523701	-0.692914	-0.374167
22	1045	-0.448182	981967.634997	982219.230132	0.765247	-0.212231	-0.40215	-0.431887	0.394003	-0.497171	-0.21579
23	1047	2.153129	831744.433687	1067059.634405	4.226346	-0.599846	-0.75693	-1.379759	-0.067364	-1.361518	-0.602934
24	1049	-1.173953	927559.715851	1316186.676545	-0.525798	0.369192	-0.93432	-0.912168	0.419598	-0.846084	0.452914
25	1051	-0.507883	917870.914648	1105959.507758	0.847654	-0.463463	0.328281	0.537823	0.592511	-0.647493	-0.462154
26	1053	-0.165378	839029.435947	933583.882578	1.575583	-0.51371	-0.986494	-1.20747	-0.075443	-1.174413	-0.708519
27	1055	-0.570369	911578.866479	1267847.013649	0.463087	-0.398861	-0.433454	-0.614598	0.831606	-0.516582	-0.338972
28	1057	-1.093705	759245.265676	1216849.163924	0.181529	-0.5496	-0.996929	-0.953574	-0.302648	-1.130592	-0.673324
29	1059	-1.05099	742733.836224	1296302.947085	-0.326648	0.555822	-0.829973	-0.694219	0.053339	-0.997047	0.752071
30	1061	-1.291877	964481.398062	942654.000998	0.03045	-0.391682	-0.986494	-0.820565	0.018719	-1.126875	-0.567739
31	1063	2.935182	747878.564155	1118613.180793	4.830665	-0.556778	-1.236927	-2.067496	-0.726579	-1.695311	-0.778909
32	1065	1.568033	778711.021262	1111118.746904	3.450346	-0.678805	-0.809104	-1.365508	-0.389499	-1.416392	-0.796506
33	1067	-0.341482	1015712.531736	995264.430651	1.197884	-0.492175	-0.506497	-0.233152	-0.221719	-1.006644	-0.673324
34	1069	-0.336501	1014510.868795	954652.158986	1.218486	-0.441929	-0.0265	-0.405937	0.80977	-0.450587	-0.409362
35	1071	-1.102938	906169.942564	1349876.029008	-0.388453	-0.470641	-0.829973	-0.817941	0.023114	-0.840984	-0.585336
36	1073	1.403362	838213.553194	1205375.018735	2.317248	-0.398861	1.194363	0.042226	1.491381	-0.153306	-0.110205
37	1075	-1.239279	725884.217178	1220457.370431	0.10599	-0.563956	-1.049102	-1.059358	-0.380364	-1.415942	-0.690921
38	1077	-0.401739	755441.942256	1348995.05909	0.085388	-0.484997	0.161325	-0.369494	0.6156	-0.208284	-0.479752
39	1079	-0.701608	790290.806482	1309539.364958	0.099122	-0.520888	-0.976059	-0.596944	0.025419	-1.003316	-0.673324
40	1081	0.36315	991514.227904	1114384.115749	0.943795	-0.413217	1.392622	-0.13063	1.025614	0.183133	0.153757
41	1083	-0.340667	817127.150171	1344355.867326	0.318875	-0.248121	0.390889	0.452387	0.726916	0.135601	-0.180595
42	1085	2.407866	876183.432081	1052205.258893	4.494169	-0.642915	-0.75693	-1.64982	-0.668269	-1.624021	-0.690921
43	1087	2.970151	962780.083137	1087056.56558	5.084754	-0.62138	-0.162151	-1.413436	-0.215248	-1.084945	-0.726116
