u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y	b_result	a1_result	a2_result
0	0	0.0	0.0	-1.0	-1.0	3	1.64373629133578	-2.796733229144661	3.727375983961126	3.0806377026525573	-1.8379384062801671	-0.9098586410871924
1	0	0.2040816326530612	0.0	-1.0	-1.0	3	-0.3667293614876863	1.0980897386939867	1.7744879029875351	3.080823956964949	-1.821997053916868	-0.9191930911650468
2	0	0.4081632653061224	0.0	-1.0	-1.0	3	2.151587519468295	2.702977618816236	-3.004053993918518	3.0810127212777725	-1.8001863717066724	-0.92403175787701
3	0	0.6122448979591837	0.0	-1.0	-1.0	3	1.1842081743561836	1.974902942074502	0.5478857158514399	3.0812038896750558	-1.7625969826563959	-0.9305608271237551
4	0	0.8163265306122449	0.0	-1.0	-1.0	3	-2.434935912674103	-1.3368111587367613	7.158913281123717	3.0813973323513575	-1.7007012910390706	-0.936846151466
5	0	1.020408163265306	0.0	-1.0	-1.0	3	2.853734109820536	-2.680049490399956	0.2017433784348803	3.0815928923063622	-1.6064794206170805	-0.9400378112176535
6	0	1.2244897959183674	0.0	-1.0	-1.0	3	1.5668382119421178	2.642108475229083	-3.933964579316141	3.0817903816129784	-1.5183334072638464	-0.9342227866875755
7	0	1.4285714285714286	0.0	-1.0	-1.0	3	1.716385831661723	2.622376349278209	-0.6380328331504377	3.0819895772058	-1.4565354403125657	-0.9157981460982014
8	0	1.6326530612244898	0.0	-1.0	-1.0	3	-2.2313182039467248	0.1944919182772162	3.691603678158527	3.0821902161309014	-1.4192674177611395	-0.9091912329384952
9	0	1.836734693877551	0.0	-1.0	-1.0	3	-0.2976843726265974	0.8539044700292107	2.9421478085129213	3.0823919901914363	-1.3967763789689203	-0.9194993722011132
10	0	2.0408163265306123	0.0	-1.0	-1.0	3	-0.7752118546045126	-0.2243996357351503	5.288148594219823	3.0825945399168457	-1.3873023334168217	-0.9486963351536075
11	0	2.2448979591836737	0.0	-1.0	-1.0	3	2.5605899330916118	-0.481407797407448	-1.1762543174033355	3.082797447776381	-1.3719270241417418	-1.0132712576539762
12	0	2.4489795918367347	0.0	-1.0	-1.0	3	0.8631907204839875	-2.283309384427798	2.091082193893105	3.0830002305505775	-1.359471109733359	-1.0993085402776908
13	0	2.653061224489796	0.0	-1.0	-1.0	3	1.93656967962498	-2.419482609833424	6.245725206160682	3.083202330767313	-1.3367130395536226	-1.2029344913485829
14	0	2.857142857142857	0.0	-1.0	-1.0	3	-0.3395148070360134	-1.6036071199428752	5.523213718866947	3.0834031071026136	-1.28488865159812	-1.317271382043654
15	0	3.0612244897959187	0.0	-1.0	-2.0	3	-1.636567669291339	2.019844478439266	-0.0948683710980902	3.0836018236409264	-1.1860667913185226	-1.4291688033537722
16	0	3.26530612244898	0.0	-1.0	-2.0	3	0.3275087220950086	-2.12500619558592	5.3815019222104965	3.083797637885724	-1.085150522089317	-1.5380625027972683
17	0	3.4693877551020407	0.0	-1.0	-2.0	3	-2.6170964633749483	-1.6398080885117357	8.054485239701409	3.083989587410174	-0.9721361605256374	-1.6406825612583373
