u	v	spatial_x	spatial_y	a1_list	a2_list	b_list	feat1	feat2	y	b_result	a1_result	a2_result
0	0	0.0	0.0	-0.8864204081540411	-0.6256702664596951	3	1.64373629133578	-2.796733229144661	3.627980218162026	2.964435571413551	-1.1721611443169517	-0.3513955940031147
1	0	0.2040816326530612	0.0	-0.8808325358218935	-0.645477543432947	3	-0.3667293614876863	1.0980897386939867	1.4702523695738758	2.9644027188626154	-1.1423380339803177	-0.37023350456757903
2	0	0.4081632653061224	0.0	-0.8629678929597416	-0.6658569185975284	3	2.151587519468295	2.702977618816236	0.1689490188900074	2.9643653294089467	-1.117646924525363	-0.3939204598615273
3	0	0.6122448979591837	0.0	-0.8345231719021124	-0.6869583678756472	3	1.1842081743561836	1.974902942074502	1.6896959243738894	2.964323019232311	-1.0972793617199357	-0.41666883363741536
4	0	0.8163265306122449	0.0	-0.7973620406423946	-0.7089199904051459	3	-2.434935912674103	-1.3368111587367613	3.7430789144692103	2.9642753712833416	-1.0731362142404224	-0.4454851337548983
5	0	1.020408163265306	0.0	-0.7533937066610888	-0.7318664043297851	3	2.853734109820536	-2.680049490399956	1.3790554075934622	2.964221932280051	-1.049959727043313	-0.47613757539606677
6	0	1.2244897959183674	0.0	-0.7044569006429222	-0.7559074470895812	3	1.5668382119421178	2.642108475229083	0.0396649804462089	2.9641622094372413	-1.0382481440161624	-0.5094387838961372
7	0	1.4285714285714286	0.0	-0.6522173015740033	-0.7811371650488222	3	1.716385831661723	2.622376349278209	-0.5157590143304613	2.9640956669097296	-1.0193335576714724	-0.5437309487560995
8	0	1.6326530612244898	0.0	-0.5980853217241383	-0.8076330706582424	3	-2.2313182039467248	0.1944919182772162	4.158959287445246	2.9640217219304867	-1.0014648537420496	-0.5862483136738745
9	0	1.836734693877551	0.0	-0.5431595992130909	-0.835455640113325	3	-0.2976843726265974	0.8539044700292107	1.5099424985930412	2.9639397406256047	-0.9748344245606391	-0.6336121905679628
10	0	2.0408163265306123	0.0	-0.4881996195158187	-0.8646480207490675	3	-0.7752118546045126	-0.2243996357351503	4.539822605706396	2.9638490334896868	-0.9332334633118446	-0.6817046270302103
11	0	2.2448979591836737	0.0	-0.4336287408060847	-0.895235915256373	3	2.5605899330916118	-0.481407797407448	3.176199290688203	2.9637488505079457	-0.8684119202028524	-0.7296484341704703
12	0	2.4489795918367347	0.0	-0.3795666806820919	-0.9272276092151536	3	0.8631907204839875	-2.283309384427798	4.862142832369158	2.963638375915441	-0.7845731089729706	-0.7766390347467613
13	0	2.653061224489796	0.0	-0.3258883863629022	-0.960614109361334	3	1.93656967962498	-2.419482609833424	5.933048892052899	2.9635167225898393	-0.6935943128222025	-0.822909419455082
14	0	2.857142857142857	0.0	-0.272304302935646	-0.9953693623351334	3	-0.3395148070360134	-1.6036071199428752	5.202893015757142	2.9633829260824083	-0.6052961269894407	-0.8668032200016977
15	0	3.0612244897959187	0.0	-0.2184555041652565	-1.0314505272466865	3	-1.636567669291339	2.019844478439266	0.328925853881547	2.963235938303302	-0.5212471806748755	-0.905047394466072
16	0	3.26530612244898	0.0	-0.1640160621023325	-1.068798280052909	3	0.3275087220950086	-2.12500619558592	5.623112138532565	2.9630746208922387	-0.44144984638937024	-0.9383643184202126
17	0	3.4693877551020407	0.0	-0.1087944776286657	-1.107337133242356	3	-2.6170964633749483	-1.6398080885117357	4.045775169525021	2.9628977383256427	-0.3751058345559104	-0.9692130798286506
18	0	3.673469387755102	0.0	-0.0528260099777519	-1.1469757604239352	3	1.965787031955492	0.2916843559332451	3.527895760123484	2.9627039508370245	-0.31693507913962604	-0.9994913163601904
19	0	3.877551020408164	0.0	0.0035516737084642	-1.187607321843941	3	0.7899863947323889	-1.7092126915303536	4.977760778873375	2.962491807260583	-0.26502260179313664	-1.0308363693843408
20	0	4.081632653061225	0.0	0.0596459986166216	-1.2291097933384467	3	1.5485264405122423	-2.0207598916932774	5.372750578894555	2.9622597379499354	-0.21757027541500074	-1.0638916854516056
21	0	4.285714285714286	0.0	0.1143850430755879	-1.2713463074907838	3	-0.87284419122079	0.3798974501877734	1.6681559602232077	2.962006047976896	-0.16890536884095134	-1.0994038283745167
22	0	4.489795918367348	0.0	0.1663241676034907	-1.3141655215409582	3	2.824188146369419	-0.7914403740203069	5.85460986703494	2.9617289108808746	-0.12002061338343548	-1.1366879684162585
23	0	4.6938775510204085	0.0	0.2136846008806601	-1.357402031639473	3	2.3587267279331865	0.7569557150428152	2.3065479237090387	2.9614263633206233	-0.07568680591071292	-1.1759224900510714
24	0	4.8979591836734695	0.0	0.2544226784024763	-1.4008768571317114	3	1.670300982442571	2.4732320424520573	-0.5108916852757731	2.9610963010787237	-0.033147069171717294	-1.2174776842118393
25	0	5.1020408163265305	0.0	0.2863263085620036	-1.444398021513873	3	-1.8321677528881943	-2.094041211389594	5.1126842478117736	2.9605714730788115	0.00516210303805284	-1.260344597591391
26	0	5.306122448979592	0.0	0.3071333320474289	-1.487761258371253	3	-0.1996739776377949	2.480601958878383	-0.1663299218254745	2.9598954167463196	0.040543454833532236	-1.3034430301155975
27	0	5.510204081632653	0.0	0.3146648689556893	-1.5307508708912512	3	-2.737177405276628	2.414939804537512	-1.155976307685102	2.9592481589095296	0.07301459121348448	-1.3454923940404213
28	0	5.714285714285714	0.0	0.3069656160446784	-1.5731407723832358	3	-2.074263047594713	1.9745255000154172	-0.2889281316726846	2.958628705486099	0.09958791406772294	-1.3852259813733265
29	0	5.918367346938775	0.0	0.2824424365619357	-1.6146957326308546	3	1.0982937194547278	0.7877155038365111	2.512186994920157	2.958036018033492	0.1110380158444535	-1.4219431797093498
30	0	6.122448979591837	0.0	0.2399925154943572	-1.6551728508956285	3	1.468572935446903	0.7208799447932845	4.515077960545359	2.9574690336290916	0.10021716919995584	-1.4565097315662965
31	0	6.326530612244898	0.0	0.1791128360552012	-1.694323271079583	3	2.8050583946052603	0.8352759596190094	1.640137950179303	2.9569266808400725	0.06806535868381298	-1.4912432302822765
32	0	6.530612244897959	0.0	0.0999837350254467	-1.7318941480811323	3	-1.0450478511710883	1.142973307306879	0.3525364282431846	2.956407892399273	0.013211363813041062	-1.5259718779390918
33	0	6.73469387755102	0.0	0.0035207482479897	-1.7676308669272478	3	-0.7772417637907867	-2.9011067964230577	7.230199447959023	2.955911615125803	-0.06986843811818921	-1.5604974739630353
34	0	6.938775510204081	0.0	-0.1086092321550404	-1.8012795080577422	3	-0.1826651323451527	2.748555474963898	-1.2535001692138326	2.9554368175565418	-0.1727312053051057	-1.596203335529083
35	0	7.142857142857143	0.0	-0.2340094173621527	-1.8325895434263784	3	-1.8631718454942856	0.5136225687934788	3.73660993116394	2.954982495688152	-0.2848863973484307	-1.632987415170764
